Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
12/18/2021 17:03:43	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.1.0	12/18/2021 17:03:43	12/18/2021 23:03:43	28160
12/18/2021 19:06:29	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.2.0	12/18/2021 19:06:28	12/19/2021 01:06:28	28160
12/18/2021 19:22:06	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Release\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.3.0	12/18/2021 19:22:06	12/19/2021 01:22:06	27136
12/19/2021 14:08:25	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.5.0	12/19/2021 14:08:25	12/19/2021 20:08:25	28672
12/19/2021 14:12:02	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Release\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.6.0	12/19/2021 14:12:02	12/19/2021 20:12:02	27648
12/19/2021 14:28:29	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Release\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.7.0	12/19/2021 14:28:28	12/19/2021 20:28:28	27648
12/19/2021 14:36:17	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Release\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.8.0	12/19/2021 14:36:17	12/19/2021 20:36:17	27648
12/19/2021 17:42:38	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Release\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.9.0	12/19/2021 17:42:38	12/19/2021 23:42:38	27648
03/27/2022 19:19:47	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Release\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.10.0	03/27/2022 19:19:47	03/28/2022 00:19:47	29696
03/27/2022 19:28:21	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.11.0	03/27/2022 19:28:21	03/28/2022 00:28:21	30208
03/27/2022 22:59:39	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.12.0	03/27/2022 22:59:39	03/28/2022 03:59:39	30208
03/28/2022 00:06:21	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.13.0	03/28/2022 00:06:21	03/28/2022 05:06:21	30208
03/28/2022 00:23:11	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.14.0	03/28/2022 00:23:11	03/28/2022 05:23:11	30208
03/28/2022 00:49:46	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.15.0	03/28/2022 00:49:46	03/28/2022 05:49:46	30208
04/02/2022 00:21:47	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.16.0	04/02/2022 00:21:46	04/02/2022 05:21:46	30208
04/02/2022 00:41:54	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.17.0	04/02/2022 00:41:54	04/02/2022 05:41:54	30208
04/02/2022 00:52:25	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids_TestStand\bin\Debug\TestStand.exe	WizardWrx .NET Application Support Libraries	WebApplicationAids TestStand	1.0.18.0	04/02/2022 00:52:25	04/02/2022 05:52:25	30208
